ICAO;IATA;Name;City;Country;Lattitude Degrees;Lattitude Minutes;Lattitude Seconds;Lattitude Direction;Longitude Degrees;Longitude Minutes;Longitude Seconds;Longitude Direction;Altitude
NFCI;ICI;N/A;CICIA;FIJI;0;0;0;U;0;0;0;U;0
NFCN;N/A;N/A;CLUB NAITASHI;FIJI;0;0;0;U;0;0;0;U;0
NFCS;CST;N/A;CASTAWAY ISLD.;FIJI;0;0;0;U;0;0;0;U;0
NFFA;N/A;N/A;BA;FIJI;0;0;0;U;0;0;0;U;0
NFFN;NAN;NADI INTERNATIONAL;NANDI;FIJI;17;45;16;S;177;26;36;E;18
NFFO;PTF;N/A;MALOLO LAILAI;FIJI;0;0;0;U;0;0;0;U;0
NFFR;N/A;N/A;RABI;FIJI;0;0;0;U;0;0;0;U;0
NFHO;N/A;N/A;NANDI;FIJI;0;0;0;U;0;0;0;U;0
NFKD;N/A;N/A;KADAVU;FIJI;0;0;0;U;0;0;0;U;0
NFMA;MNF;N/A;MANA ISLAND;FIJI;0;0;0;U;0;0;0;U;0
NFMO;MFJ;N/A;MOALA;FIJI;0;0;0;U;0;0;0;U;0
NFNA;SUV;NAUSORI INTERNATIONAL;NAUSORI;FIJI;18;2;35;S;178;33;33;E;6
NFNB;N/A;N/A;BURETA;FIJI;0;0;0;U;0;0;0;U;0
NFND;N/A;N/A;DEUMBA;FIJI;0;0;0;U;0;0;0;U;0
NFNG;N/A;N/A;NGAU;FIJI;0;0;0;U;0;0;0;U;0
NFNH;N/A;N/A;LAUTHALA ISLAND;FIJI;0;0;0;U;0;0;0;U;0
NFNK;LKB;N/A;LAKEMBA;FIJI;0;0;0;U;0;0;0;U;0
NFNL;LMG;LABASA;LAMBASA;FIJI;16;28;0;S;179;20;23;E;14
NFNM;N/A;N/A;MATEI;FIJI;0;0;0;U;0;0;0;U;0
NFNO;N/A;N/A;KORO;FIJI;0;0;0;U;0;0;0;U;0
NFNR;RTA;N/A;ROTUMA ISLAND;FIJI;0;0;0;U;0;0;0;U;0
NFNS;SVU;N/A;SAVU SAVU;FIJI;0;0;0;U;0;0;0;U;0
NFNU;N/A;N/A;BUA;FIJI;0;0;0;U;0;0;0;U;0
NFNV;N/A;N/A;VATUKOULA;FIJI;0;0;0;U;0;0;0;U;0
NFNW;N/A;N/A;WAKAYA;FIJI;0;0;0;U;0;0;0;U;0
NFOF;N/A;N/A;FIDJI;FIJI;0;0;0;U;0;0;0;U;0
NFOL;N/A;N/A;ON-I-LAU;FIJI;0;0;0;U;0;0;0;U;0
NFSU;SUV;N/A;SUVA;FIJI;0;0;0;U;0;0;0;U;0
NFTE;EUA;N/A;EUA;TONGA;0;0;0;U;0;0;0;U;0
NFTF;TBU;FUA AMOTU INTERNATIONAL;TONGATAPU;TONGA;21;14;27;S;175;9;0;W;39
NFTL;HPA;HAAPAI;HA'APAI;TONGA;19;46;37;S;174;20;28;W;13
NFTN;N/A;N/A;NUKU'ALOFA;TONGA;0;0;0;U;0;0;0;U;0
NFTO;NFO;N/A;NIUAFO'OU;TONGA;0;0;0;U;0;0;0;U;0
NFTP;NTT;N/A;NIUATOPUTAPU;TONGA;0;0;0;U;0;0;0;U;0
NFTR;N/A;N/A;TREASURE ISLAND;FIJI;0;0;0;U;0;0;0;U;0
NFTV;VAV;VAVAU INTERNATIONAL;VAVA'U;TONGA;18;35;7;S;173;57;46;W;72
NFUL;N/A;N/A;NANUYA LEVU;FIJI;0;0;0;U;0;0;0;U;0
NFVB;N/A;N/A;VANUABALAVU;FIJI;0;0;0;U;0;0;0;U;0
NFVL;N/A;N/A;VATULELE;FIJI;0;0;0;U;0;0;0;U;0
NGAB;ABF;N/A;ABAIANG;KIRIBATI;0;0;0;U;0;0;0;U;0
NGBR;BEZ;N/A;BERU;KIRIBATI;0;0;0;U;0;0;0;U;0
NGFO;N/A;N/A;NANUMEA;TUVALU ISLAND;0;0;0;U;0;0;0;U;0
NGFU;FUN;FUNAFUTI INTERNATIONAL AIRPORT;FUNAFUTI;TUVALU ISLAND;8;31;0;S;179;13;0;E;0
NGMA;MNK;N/A;MAIANA;KIRIBATI;0;0;0;U;0;0;0;U;0
NGMK;MZK;N/A;MARAKEI;KIRIBATI;0;0;0;U;0;0;0;U;0
NGMN;MTK;N/A;MAKIN ISLAND;KIRIBATI;0;0;0;U;0;0;0;U;0
NGNU;NIG;N/A;NIKUNAU;KIRIBATI;0;0;0;U;0;0;0;U;0
NGON;OOT;N/A;ONOTOA;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTA;TRW;BONRIKI INTERNATIONAL;TARAWA;KIRIBATI;1;22;53;N;173;8;49;E;3
NGTB;AEA;N/A;ABEMAMA ATOLL;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTE;TBF;TABITEUEA NORTH;TABITEUEA NORTH;KIRIBATI;1;13;25;S;174;46;34;E;3
NGTM;TMN;N/A;TAMANA;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTO;NON;N/A;NONOUTI;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTR;AIS;N/A;ARORAE ISLAND;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTS;TSU;N/A;TABITEUEA SOUTH;KIRIBATI;0;0;0;U;0;0;0;U;0
NGTU;BBG;N/A;BUTARITARI;KIRIBATI;0;0;0;U;0;0;0;U;0
NGUK;N/A;N/A;ARANUKA;KIRIBATI;0;0;0;U;0;0;0;U;0
NIUE;HUE;NIUE INTERNATIONAL;ALOFI;NEW ZEALAND;19;4;48;S;169;55;32;W;64
NLWF;FUT;N/A;FUTUNA;WALLIS & FUTUNA;0;0;0;U;0;0;0;U;0
NLWW;WLS;HIHIFO;WALLIS;WALLIS & FUTUNA;13;14;17;S;176;11;57;W;25
NSAP;APW;N/A;APIA;SAMOA;0;0;0;U;0;0;0;U;0
NSAU;N/A;N/A;ASAU;SAMOA;0;0;0;U;0;0;0;U;0
NSFA;APW;FALEOLO INTERNATIONAL;FALEOLO;SAMOA;13;49;47;S;172;0;30;W;18
NSFI;N/A;N/A;FAGALI'I;SAMOA;0;0;0;U;0;0;0;U;0
NSMA;MXS;N/A;MAOTA;SAMOA;0;0;0;U;0;0;0;U;0
NSTU;PPG;PAGO PAGO INTERNATIONAL;PAGO PAGO;SAMOA;14;19;51;S;170;42;37;W;10
NTAR;RUR;RURUTU;RURUTU;FRENCH POLYNESIA;22;26;2;S;151;21;38;W;6
NTAT;TUB;TUBUAI;TUBUAI;FRENCH POLYNESIA;23;21;55;S;149;31;26;W;3
NTGA;AAA;ANAA;ANAA;FRENCH POLYNESIA;17;21;9;S;145;30;35;W;4
NTGB;N/A;FANGATAU;FANGATAU;FRENCH POLYNESIA;15;49;11;S;140;53;13;W;3
NTGC;TIH;TIKEHAU;TIKEHAU;FRENCH POLYNESIA;15;7;10;S;148;13;50;W;2
NTGD;APK;N/A;APATAKI;TUAMOTU ISLANDS;0;0;0;U;0;0;0;U;0
NTGE;REA;REAO;REAO;FRENCH POLYNESIA;18;27;57;S;136;26;22;W;4
NTGF;FAV;FAKARAVA;FAKARAVA;FRENCH POLYNESIA;16;3;16;S;145;39;25;W;4
NTGH;N/A;N/A;HIKUERU;TUAMOTU ISLANDS;0;0;0;U;0;0;0;U;0
NTGI;XMH;MANIHI;MANIHI;FRENCH POLYNESIA;14;26;12;S;146;4;12;W;5
NTGJ;GMR;TOTEGEGIE;TOTEGEGIE;FRENCH POLYNESIA;23;4;47;S;134;53;25;W;3
NTGK;KKR;KAUKURA;KAUKURA ATOLL;TUAMOTU ISLANDS;15;39;48;S;146;53;5;W;4
NTGM;MKP;MAKEMO;MAKEMO;FRENCH POLYNESIA;16;35;5;S;143;39;26;W;1
NTGN;NAU;NAPUKA;NAPUKA ISLAND;FRENCH POLYNESIA;14;10;36;S;141;16;2;W;3
NTGO;TKV;N/A;TATAKOTO;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTGP;PKP;PUKA PUKA;PUKA PUKA;FRENCH POLYNESIA;14;48;34;S;138;48;46;W;2
NTGQ;PUK;N/A;PUKARUA;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTGR;N/A;N/A;ARATICA;TUAMOTU ISLANDS;0;0;0;U;0;0;0;U;0
NTGT;TKP;TAKAPOTO;TAKAPOTO;FRENCH POLYNESIA;14;42;45;S;145;15;10;W;4
NTGU;AXR;ARUTUA;ARUTUA;TUAMOTU ISLANDS;15;14;53;S;146;36;59;W;3
NTGV;MVT;MATAIVA;MATAIVA;FRENCH POLYNESIA;14;52;5;S;148;43;2;W;4
NTGW;NUK;N/A;NUKUTAVAKE;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTGY;N/A;TUREIA;TUREIA;FRENCH POLYNESIA;20;47;0;S;138;34;4;W;4
NTKH;FHZ;N/A;FAKAHINA;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTKR;TKX;TAKAROA;TAKAROA;FRENCH POLYNESIA;14;27;20;S;145;1;28;W;4
NTMD;NHV;NUKU HIVA;NUKU HIVA;FRENCH POLYNESIA;8;47;44;S;140;13;43;W;68
NTMN;N/A;ATUONA;HIVA-OA;FRENCH POLYNESIA;9;46;7;S;139;0;40;W;452
NTMP;UAP;N/A;UA POU;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTMU;UAH;N/A;UA HUKA;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTTB;BOB;BORA BORA;BORA BORA;FRENCH POLYNESIA;16;26;39;S;151;45;4;W;4
NTTE;N/A;N/A;TETIAROA;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NTTG;RGI;RANGIROA;RANGIROA;FRENCH POLYNESIA;14;57;15;S;147;39;38;W;4
NTTH;HUH;HUAHINE;HUAHINE ISLAND;FRENCH POLYNESIA;16;41;14;S;151;1;18;W;3
NTTM;MOZ;TEMAE;MOOREA;FRENCH POLYNESIA;17;29;23;S;149;45;42;W;3
NTTO;HOI;HAO;HAO ISLAND;TUAMOTU ISLANDS;18;4;29;S;140;56;45;W;4
NTTP;MAU;MAUPITI;MAUPITI;FRENCH POLYNESIA;16;25;35;S;152;14;37;W;5
NTTR;RFP;UTUROA;RAIATEA ISLAND;FRENCH POLYNESIA;16;43;22;S;151;27;57;W;1
NTTX;N/A;MURUROA ATOLL;MURUROA;FRENCH POLYNESIA;21;48;30;S;138;47;39;W;3
NTUV;VHZ;N/A;VAHITAHI;FRENCH POLYNESIA;0;0;0;U;0;0;0;U;0
NVSA;N/A;N/A;ABLOW;VANUATU;0;0;0;U;0;0;0;U;0
NVSC;SLH;N/A;SOLA;VANUATU;0;0;0;U;0;0;0;U;0
NVSD;N/A;N/A;LO-LINUA;VANUATU;0;0;0;U;0;0;0;U;0
NVSE;EAE;N/A;EMAE;VANUATU;0;0;0;U;0;0;0;U;0
NVSF;CCV;N/A;CRAIG COVE;VANUATU;0;0;0;U;0;0;0;U;0
NVSG;LOD;N/A;LONGANA;VANUATU;0;0;0;U;0;0;0;U;0
NVSH;SSR;N/A;SARA;VANUATU;0;0;0;U;0;0;0;U;0
NVSL;LPM;N/A;LAMAP;VANUATU;0;0;0;U;0;0;0;U;0
NVSM;LNB;N/A;LAMEN BAY;VANUATU;0;0;0;U;0;0;0;U;0
NVSN;MWF;N/A;MAEWO-NAONE;VANUATU;0;0;0;U;0;0;0;U;0
NVSO;LNE;N/A;LONORORE;VANUATU;0;0;0;U;0;0;0;U;0
NVSP;NUS;N/A;NORSUP;VANUATU;0;0;0;U;0;0;0;U;0
NVSR;N/A;N/A;REDCLIFF;VANUATU;0;0;0;U;0;0;0;U;0
NVSS;N/A;SANTO PEKOA INTERNATIONAL;SANTO;VANUATU;15;30;4;S;167;13;21;E;57
NVST;TGH;N/A;TONGOA;VANUATU;0;0;0;U;0;0;0;U;0
NVSU;ULB;N/A;ULEI;VANUATU;0;0;0;U;0;0;0;U;0
NVSV;VLS;N/A;VALESDIR;VANUATU;0;0;0;U;0;0;0;U;0
NVSW;WLH;N/A;WALAHA;VANUATU;0;0;0;U;0;0;0;U;0
NVSX;SWJ;N/A;SOUTH WEST BAY;VANUATU;0;0;0;U;0;0;0;U;0
NVSZ;N/A;N/A;NORTH WEST SANTO;VANUATU;0;0;0;U;0;0;0;U;0
NVVA;N/A;N/A;ANATOM;VANUATU;0;0;0;U;0;0;0;U;0
NVVB;AWD;N/A;ANIWA;VANUATU;0;0;0;U;0;0;0;U;0
NVVD;DLY;N/A;DILLON'S BAY;VANUATU;0;0;0;U;0;0;0;U;0
NVVF;FTA;N/A;FUTUNA ISLAND;VANUATU;0;0;0;U;0;0;0;U;0
NVVI;IPA;N/A;IPOTA;VANUATU;0;0;0;U;0;0;0;U;0
NVVJ;N/A;N/A;FORARI;VANUATU;0;0;0;U;0;0;0;U;0
NVVK;N/A;N/A;LENAKEL;VANUATU;0;0;0;U;0;0;0;U;0
NVVQ;N/A;N/A;QUOIN HILL;VANUATU;0;0;0;U;0;0;0;U;0
NVVV;VLI;PORT VILA BAUERFIELD;PORT-VILA;VANUATU;17;41;57;S;168;19;11;E;22
NWEE;ILP;N/A;ILE DES PINS;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWA;TGJ;N/A;TIGA;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWC;N/A;N/A;ILE ART;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWD;KNQ;KONE;KONE;NEW CALEDONIA;21;3;12;S;164;50;16;E;8
NWWF;N/A;N/A;VOH;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWI;N/A;N/A;HIENGHENE;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWJ;N/A;N/A;POUM;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWK;KOC;KOUMAC;KOUMAC;NEW CALEDONIA;20;32;46;S;164;15;20;E;13
NWWL;LIF;OUANAHAM;LIFOU;NEW CALEDONIA;20;46;29;S;167;14;23;E;29
NWWM;GEA;NOUMEA MAGENTA;NOUMEA;NEW CALEDONIA;22;15;29;S;166;28;22;E;4
NWWO;N/A;N/A;ILE OUEN;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWQ;N/A;N/A;MUEO;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWR;MEE;LA ROCHE;MARE;NEW CALEDONIA;21;28;54;S;168;2;15;E;43
NWWS;N/A;N/A;PLAINE DES LACS;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NWWU;TOU;TOUHO;TOUHO;NEW CALEDONIA;20;47;28;S;165;15;33;E;4
NWWV;UVE;OUVEA OULOUP;OUVEA;NEW CALEDONIA;20;38;26;S;166;34;22;E;8
NWWW;NOU;LA TONTOUTA;NOUMEA;NEW CALEDONIA;22;0;52;S;166;12;46;E;16
NWWY;N/A;N/A;OUACO;NEW CALEDONIA;0;0;0;U;0;0;0;U;0
NZAA;AKL;AUCKLAND INTERNATIONAL;AUCKLAND;NEW ZEALAND;37;0;29;S;174;47;30;E;8
NZAE;N/A;N/A;MOUNT TARAWERA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZAG;N/A;N/A;MATARANGI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZAH;N/A;N/A;TAHAROA IRONSANDS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZAL;N/A;N/A;AVALON;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZAN;N/A;N/A;ARTHURS POINT;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZAP;TUO;TAUPO;TAUPO;NEW ZEALAND;38;44;23;S;176;5;4;E;407
NZAR;N/A;ARDMORE;ARDMORE;NEW ZEALAND;37;1;47;S;174;58;24;E;34
NZAS;N/A;N/A;ASHBURTON;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBA;N/A;N/A;BALCLUTHA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBB;N/A;N/A;BOYD;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBE;N/A;N/A;BERRIDALE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBH;N/A;N/A;BETHELLS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBL;N/A;N/A;BROADLANDS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBM;BHE;N/A;BLENHEIM;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBO;N/A;N/A;MOERAKI BOULDERS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBR;N/A;N/A;BROTHERS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBU;N/A;N/A;BURNHAM;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZBY;N/A;N/A;BEALEY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCA;N/A;N/A;CAMPBELL ISLAND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCB;N/A;N/A;CENTRE BUSH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCC;N/A;N/A;CAPE CAMPBELL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCH;CHC;CHRISTCHURCH INTERNATIONAL;CHRISTCHURCH;NEW ZEALAND;43;29;21;S;172;31;56;E;38
NZCI;CHT;CHATHAM ISLANDS;CHATHAM ISLAND;NEW ZEALAND;43;48;36;S;176;27;26;W;14
NZCM;N/A;N/A;MCMURDO SOUND;ANTARCTICA;0;0;0;U;0;0;0;U;0
NZCP;N/A;N/A;CORONET PEAK;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCR;N/A;N/A;CAPE REINGA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCS;N/A;N/A;CROMWELL RACECOURSE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCU;N/A;N/A;CULVERDEN;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCV;N/A;N/A;CUVIER ISLAND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZCX;N/A;N/A;COROMANDEL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZDA;N/A;N/A;DARGAVILLE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZDD;N/A;N/A;DEPDALE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZDI;N/A;N/A;DOG ISLAND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZDN;DUD;DUNEDIN;DUNEDIN;NEW ZEALAND;45;55;41;S;170;11;54;E;2
NZDV;N/A;N/A;DANNEVIRKE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZEB;N/A;N/A;EVANS BAY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZEC;N/A;N/A;EAST CAPE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZES;N/A;N/A;WHAREPAPA SOUTH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZFH;N/A;N/A;FOX;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZFI;N/A;N/A;FEILDING;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZFR;N/A;N/A;FOREST;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZFY;N/A;N/A;FERRY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGA;N/A;N/A;GALATEA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGB;N/A;N/A;GREAT BARRIER;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGC;N/A;N/A;GORE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGF;N/A;N/A;GULF;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGG;N/A;N/A;GOLDEN GATE LODGE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGH;N/A;N/A;GREENHITHE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGI;N/A;N/A;GARDEN CITY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGM;N/A;N/A;GREYMOUTH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGO;N/A;N/A;GLENROY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGR;N/A;N/A;GREAT MERCURY ISLAND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZGS;GIS;GISBORNE;GISBORNE;NEW ZEALAND;38;39;48;S;177;58;42;E;5
NZGT;MON;GLENTANNER;GLENTANNER;NEW ZEALAND;43;54;24;S;170;7;42;E;556
NZGY;N/A;N/A;GLENHORCHY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZHA;N/A;N/A;HAWERA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZHB;N/A;N/A;HOBSOBVILLE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZHD;N/A;N/A;WHITFORD;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZHK;HKK;HOKITIKA;HOKITIKA;NEW ZEALAND;42;42;49;S;170;59;7;E;45
NZHL;N/A;N/A;HENLEY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZHN;HLZ;HAMILTON;HAMILTON;NEW ZEALAND;37;51;59;S;175;19;55;E;53
NZHS;N/A;HASTINGS;HASTINGS;NEW ZEALAND;39;38;48;S;176;46;1;E;22
NZJA;N/A;N/A;TAURANGA HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJD;N/A;N/A;DANNEVIRKE HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJG;N/A;N/A;GISBORNE HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJM;N/A;N/A;PALMERSTON NORTH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJN;N/A;N/A;NORTH SHORE HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJO;N/A;N/A;ROTORUA HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJP;N/A;N/A;TE PUIA SPRINGS HOSP.;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJQ;N/A;N/A;TARANAKI BASE HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJR;N/A;N/A;WHANGAREI HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJT;N/A;N/A;TAUMARUNUI HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJU;N/A;N/A;WANGANUI HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJW;N/A;N/A;WAIKATO HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJX;N/A;N/A;MIDDLEMORE HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZJY;N/A;N/A;WAIROA HOSPITAL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKE;N/A;N/A;WAIHEKE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKF;N/A;N/A;KAIPARA FLATS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKI;N/A;N/A;KAIKOURA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKK;KKE;KERIKERI;KERIKERI;NEW ZEALAND;35;15;46;S;173;54;43;E;150
NZKM;N/A;N/A;KARAMEA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKN;N/A;N/A;KINLEITH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKO;N/A;N/A;KAIKOHE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKR;N/A;N/A;KARIOI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKS;N/A;N/A;KAITORETE SPIT;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZKT;KAT;KAITAIA;KAITAIA;NEW ZEALAND;35;4;12;S;173;17;7;E;83
NZKY;N/A;N/A;KOWHAI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLB;N/A;N/A;STEEP HEAD;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLD;N/A;N/A;LIMESTONE DOWNS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLE;N/A;N/A;LAKE STADION;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLR;N/A;N/A;ROTORUA LAKES;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLT;N/A;N/A;LAKE TAUPO;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLU;N/A;N/A;LUMSDEN;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLV;N/A;N/A;LEES VALLEY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZLX;ALR;ALEXANDRA;ALEXANDRA;NEW ZEALAND;45;12;42;S;169;22;24;E;230
NZMA;N/A;N/A;MATAMATA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMB;N/A;N/A;MECHANICS BAY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMC;GTN;MOUNT COOK;MOUNT COOK;NEW ZEALAND;43;45;54;S;170;8;0;E;657
NZMD;N/A;N/A;MEDBURY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMF;MFN;N/A;MILFORD SOUND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMG;N/A;N/A;MANGERE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMH;N/A;N/A;MOUNT HUTT STATION;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMI;N/A;N/A;MOSGIEL;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMJ;N/A;N/A;MARTIN'S BAY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMK;MZP;N/A;MOTUEKA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZML;N/A;N/A;MOLESWORTH;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMM;N/A;N/A;MANGAMARIE;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMN;N/A;N/A;MOMONA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMO;TEU;MANAPOURI;MANAPOURI;NEW ZEALAND;45;31;59;S;167;39;0;E;210
NZMP;N/A;N/A;MOA POINT;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMQ;N/A;N/A;OAONUI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMR;N/A;N/A;MURCHISON;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMS;MRO;MASTERTON;MASTERTON;NEW ZEALAND;40;58;24;S;175;38;1;E;111
NZMT;N/A;N/A;MOTO;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMU;N/A;N/A;MOKO HINAU;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMW;N/A;N/A;MAKARORA;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMY;N/A;N/A;MIHI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZMZ;N/A;N/A;MATAKANA ISLAND;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZND;N/A;N/A;NORSEWOOD;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZNE;NPE;N/A;NAPIER;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZNH;N/A;N/A;PORT NELSON;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZNL;N/A;N/A;NEWLANDS;NEW ZEALAND;0;0;0;U;0;0;0;U;0
NZNP;NPL;NEW PLYMOUTH;NEW PLYMOUTH;NEW ZEALAND;39;0;31;S;174;10;45;E;30
NZNS;NSN;NELSON;NELSON;NEW ZEALAND;41;17;54;S;173;13;16;E;6
NZNV;IVC;INVERCARGILL;INVERCARGILL;NEW ZEALAND;46;24;44;S;168;18;46;E;2
NZNW;N/A;N/A;NGAWIHI;NEW ZEALAND;0;0;0;U;0;0;0;U;0
